park,region,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01
Mount Fernie Park,ok,0,0,0,0,192,5593.1,9578.9,7863.2,3304.9,0,0,0,0,0,0,0,0,3010.8,11784.4,8450.3,3517.7,0,0,0,0,0,0,0,2342.2,4009.9,12666.7,8318.2,4030.5,0,0,0,0,0,0,0,2038,4020.4,8688.3,10020,4304.2,0,0,0,0,0,0,0,108.4,5103.9,9197.9,10281.7,3997.6,0,0,0,0,0,0,0,1642.3,5109.9,10670.6,9513.8,4049.1,0,0,0,0,0,0,0,1811.9,5568.3,18441.6,11197.6,7112.1,0,0,0,0,0,0,0,1412.3,5945.4,22507.7,19205.9,4903.3,0,0,0,0,0,0,0,1416.3,11561.2,21396.2,14937.6,5762.4,0,0,0,0,0,0,0,0,6649.2,21934.8,16352.1,6599,0,0,0
Mount Maxwell Park,west,4375,283.5,1949.5,2072,3311,3542,6545,7017.5,5792.5,2173.5,3062.5,2905,1235.5,710.5,374.5,1802.5,2390.5,3265.5,5316.5,5967.5,2891,2145.5,745.5,784,801.5,1064,1596,1432,1949,129,4695,7850.5,5158,2017,990.5,383.5,523.5,1225,2168,1803,1534,3837.5,5908,7000.5,3741.5,2464,1865.5,1427,1006,857.5,625,2485,2585,3794,5284,6810.5,4065.5,1898.5,1237,1117.5,1073.5,1434,3408,3192,3076.5,4119.5,6195,6342,4263,2446.5,1274,864.5,1337,1645,1918,3391.5,3993.5,5064.5,6923,7941.5,6202,2471,1120,38.5,1137.5,175,2737,2404.5,3619,3965.5,8764,8221.5,3948,3521,980,693,784,1491,2551.5,2149,3129,8008,7010.5,7987,3559.5,2919,1813,469,1508.5,0,3262,3020.5,3374,4277,5215,6020,2936.5,2198,868,0
Mount Robson Park,north,0,0,0,0,24909.3,54164.5,60030.6,63191.5,38638.7,0,0,0,0,0,0,0,19983.9,47122.2,72983.3,76339,47748.4,0,0,0,0,0,0,0,15307.3,30107.2,59878.2,91276.3,39286.1,0,0,0,0,0,0,0,12397.4,45794.1,68056.2,54836.5,27872.9,0,0,0,0,0,0,0,13758.4,39966.4,75992.7,61895.7,25446.1,71,0,0,0,0,0,0,17662.9,38501.2,61336,68483.8,23136.7,0,0,0,0,0,0,0,14006.7,40404.2,76594.5,76528.8,23400.8,33,0,0,0,0,0,0,14942.7,43826.7,82717,82388.1,43185.8,3171,0,0,0,0,0,0,19139,53875.2,89024,91880.6,29827.8,149,0,0,0,0,0,0,43346.2,91683.5,130959.8,112461.8,82352.6,0,0,0
Mount Seymour Park,south,88954,68701.5,77727.5,56938.5,34667.5,33463.5,44128,34726,29522.5,29931.5,31753.5,155667,131919.5,114543,94439,54442.5,24675,29414,30943.5,41321,37621.5,34156.5,44191,130956,113620.5,123763.5,97240.5,39291,28262.5,28573,41842.5,36768,45200,32903.5,30402,138867.5,136036,126995.5,102794.5,43950.5,30160.5,38391.5,44381.5,41215,33832,42861.5,32713,55519,100879,126678,98166,46969.5,29558,41227.5,42484,48486,50602.5,30274,35416,45855,80946,31366.5,31849.5,34941.5,50547.5,51461.5,50801.5,54250.5,50332,39995,51477,151295,161811.5,114028,88116,46958.5,44047,48618,60295,69068,46936.5,33584,36255,163593,163428,122980.5,97039.5,48109.5,35287,45591.5,60644.5,53048,50639,34500,34475,161034,153528,142383.5,129930.5,46477,42272.5,44594,59463,57942.5,49333.5,34593,40869,130417.5,188356,157830,140316,45265,41179,59048.5,77292,62065,47624,37905.5,36652,800
Moyie Lake Park,ok,0,0,0,0,11297.3,12039.9,27291.1,21270.1,9288.1,0,0,0,0,0,0,0,4900.1,11005.4,25964.9,27572.4,11574,0,0,0,0,0,0,0,5469.2,8228.4,29594.9,35703.6,11095.5,0,0,0,0,0,0,0,9858.2,2656,28843.6,28936.1,11312.8,0,0,0,0,0,0,0,9482.6,14715.2,40708.7,38170.8,10654.5,0,0,0,0,0,0,0,12258,20874.4,39633.5,39680.2,10764.6,0,0,0,0,0,0,0,12321.2,19049.3,39913,44335,13106.3,0,0,0,0,0,0,0,11403.1,15779.9,40948,40925.9,3620.9,0,0,0,0,0,0,0,12362.1,17075.8,48589.7,47333.8,11614.4,0,0,0,0,0,0,0,12544,16833.7,29194.2,44794.4,12093.6,0,0,0
Muncho Lake Park,north,0,0,0,0,2442.7,9437.6,9596.6,9243.9,2517.4,0,0,0,0,0,0,0,3103.2,8165.4,13614.2,11671.1,2435.7,0,0,0,0,0,0,0,5678.4,8870.7,8969.7,8596.1,548.5,0,0,0,0,0,0,0,3545.9,6572.6,11349.5,7827.1,1528.3,0,0,0,0,0,0,0,3304,8787.8,11691.8,10667.7,1166.8,0,0,0,0,0,0,0,3373.9,9346.3,8225.1,6507.7,2118.3,0,0,0,0,0,0,0,5501.2,8594.2,11258.5,9189.5,3327.9,0,0,0,0,0,0,0,5663.1,8619.2,9878.9,9033.5,748.1,0,0,0,0,0,0,0,4394.5,8252.5,11149.8,9377.9,1331.8,0,0,0,0,0,0,0,5505.6,9952.2,11098.9,8056.8,1062.1,0,0,0
Murrin Park,south,3038,4042.5,7976.5,14154,10269,7770,12208,10052,15239,12155.5,6510,4963,2929.5,4410,8736,8463,14633.5,6867,13240.5,7371,9870,10069.5,9320.5,7525,0,0,0,12050.5,18074,15120,26649,29533,18469.5,13898.5,12694.5,11151,11557,8666,13104,12985,18067,20107.5,27023.5,21661.5,15386,12866,11305,9506,10003,9464,13104,14094.5,17307.5,23205,33397,37828,23432.5,26134.5,11105.5,9394,11168.5,8634.5,12589.5,13041,17815,19477.5,29260,34128.5,26414.5,19274.5,28913.5,13713,14532,16849,22060.5,13373.5,17727.5,20930,30131.5,43442,26572,20905.5,17290,633.5,0,12523,16866.5,23649.5,38766,47491.5,72362.5,38465,25473,22102.5,14283.5,11553.5,12848.5,15547,17171,16373,42192.5,37548,58936.5,47078.5,23135,16488.5,13776,17829,10066,9779,19229,19435.5,32571,35353.5,51674,48898.5,25060,19831,0,0
Myra - Bellevue Park,ok,0,0,0,5281.5,11837,14077,15204,19901,12229,9796.5,0,0,0,0,0,0,11420.5,19421.5,25679.5,26834.5,18816,12852,0,0,0,0,0,7213.5,14437.5,14017.5,18431,24640,19523,9450,0,0,0,0,1137.5,7031.5,13541.5,16422,22263.5,28864.5,13545,9439.5,0,0,0,0,0,6559,18417,18396,22781.5,31153.5,20695.5,6653.5,0,0,0,0,0,12876.5,22767.5,19110,31265.5,31892,27160,17766,0,0,0,0,0,10948,24874.5,24118.5,36498,35122.5,27496,19246.5,14483,0,0,0,0,9964.5,23176.5,29494.5,31699.5,34594,24906,17923.5,0,0,0,0,0,4977,30278.5,24192,36109.5,43095.5,26474,18347,15673,0,0,0,0,17167.5,28801.5,31430,42353.5,39165,25970,18504.5,0,0
Nahatlatch Park,south,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300.8,979.2,115.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naikoon Park,west,5474,4760,6048,7836.5,7682.5,15623.6,22021.8,22494.8,14178,6692,5698,5442.5,5169.5,4312,4217.5,6258,6954.5,11942.7,23626.2,21135.4,13253.4,13253.4,0,5628,6048,4525.5,6006,8134,10601.5,13184.3,21914.5,26022.3,11785.7,7038.5,5316.5,4938.5,7899.5,7483,8225,8256.5,8753.5,16907.9,21450.7,26893.4,13796.4,9187.5,8802.5,9093,7000,5824,6142.5,7500.5,9296,15751.5,28305.1,27686.6,14766.1,12369,12407.5,11970,10388,9828,13576.5,10850,10293.5,15699.3,25381.5,24337,12255.3,7903,10717,8372,9705.5,9520,11469.5,13090,16996,19103.3,31975.3,20691.4,17850.9,8211,7871.5,10444,7227.5,7157.5,6023.5,12460,14357,20703.2,32663,29285,16849.7,9632.5,13261.5,8738.5,6403.5,6387,8169,7821,12790.5,14408.2,31317.6,32544.5,15761.1,7138.5,9391.5,9013.5,7038.5,7909,11172.5,9128,12435,28264.8,25668.2,29639.4,16148.5,9971.5,0,0
Nairn Falls Park,south,0,0,0,4070.5,12766.8,18201.5,29651.9,31216.2,20039.4,5262.8,4364.5,0,0,0,0,0,13626.5,23037,35077.2,37044.4,24025.9,9306.5,1340.5,0,0,0,0,0,15548.7,20500.7,31828.9,35029.4,23922.8,9128,3034.5,0,0,0,0,0,15464.2,22351.4,39658.2,34569.1,23941.6,9775.5,2913,0,0,0,0,0,14389.3,23993.3,30504.5,35287.8,25476.5,10535,0,0,0,0,0,0,14917.8,22227.4,31451.7,35643.1,24468.5,0,0,0,0,0,0,0,20704.3,22347.4,36740.1,41587.3,28557.2,0,0,0,0,0,0,0,16581.8,18781.4,42526.7,41471.4,34588.6,0,0,0,0,0,0,0,20911.4,23402.1,31672.3,32678.4,25444.5,0,0,0,0,0,0,0,18325.3,26598.1,25751.6,31076.8,24979.6,0,0,0
Nancy Greene Park,ok,0,0,0,0,0,1845.9,5518.2,8321.2,2516.9,0,0,0,0,0,0,0,0,3920.4,9724.9,9949.7,3459.9,0,0,0,0,0,0,0,0,2957.2,9646.3,11817.2,1368.8,0,0,0,0,0,0,0,0,265.6,528,451.2,1726.1,0,0,0,0,0,0,0,0,3825,11326,9806.3,2858.7,0,0,0,0,0,0,0,2422.2,4041.9,10336.9,10319.6,1991.8,0,0,0,0,0,0,0,1882.6,3765.1,7243.3,10443.8,3045.6,0,0,0,0,0,0,0,1769.5,7140,9872.8,8546,3984.7,0,0,0,0,0,0,0,1404.3,3906.6,8725,6230.5,3772.7,0,0,0,0,0,0,0,2427.7,3934.9,7904.3,8313.6,3602.8,0,0,0
Nicolum River Park,south,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niskonlith Lake Park,tc,0,0,0,0,3004.5,2860.4,5939.8,4253.9,977.5,0,0,0,0,0,0,0,1711.6,3194.6,6048.5,6531,2077,0,0,0,0,0,0,0,2241.6,3243.5,8375.9,6746.9,2328.8,0,0,0,0,0,0,0,4607.3,4505.5,8341.2,6301.3,1120.6,0,0,0,0,0,0,0,3036.5,3170.2,7747.4,6957.7,1294.6,0,0,0,0,0,0,0,3566,5782.7,7273.4,5989.3,2093.6,0,0,0,0,0,0,0,2270.4,3906.6,6946.1,6869.3,927.4,0,0,0,0,0,0,0,3888.9,5048.9,6888.3,5386.9,1239.5,0,0,0,0,0,0,0,3081.1,3949.9,7982.2,5028.8,1202.2,0,0,0,0,0,0,0,3047.9,4168.2,6431,7879.8,1464.5,0,0,0
Norbury Lake Park,ok,0,0,0,0,310.4,640,8507.5,9029.3,4624.3,0,0,0,0,0,0,0,4070.4,5828.9,21551.1,6832.8,6137.2,0,0,0,0,0,0,0,2056.7,4884,8359.8,10111.6,5160.3,0,0,0,0,0,0,0,3307.4,6349.3,1635.2,2294.4,4602.1,0,0,0,0,0,0,0,9481.8,6619.9,14368.9,9796.6,3230.9,0,0,0,0,0,0,0,9092.6,13425.3,12143.2,9220.4,3901,0,0,0,0,0,0,0,4998,8813,10310.1,10900.8,4810,0,0,0,0,0,0,0,7664.4,9628.1,11754.7,9921.4,4000.9,0,0,0,0,0,0,0,7317.9,6538.1,13980.7,9943.8,3953.7,0,0,0,0,0,0,0,5660.9,8882.7,14322.5,15426.1,8267.4,0,0,0
North Thompson River Park,tc,1771,1242.5,630,878.5,4365.3,6131.4,5765.7,5632.4,3350.3,644,448,906.5,374.5,350,560,875,4716.7,4573.8,11717.3,11640.5,1788.8,1438.5,840,924,854,903,987,1886.5,5938.2,8214,14020.1,16963.7,9618.8,1515.5,952,1039.5,0,969.5,1214.5,2033.5,5732.6,7409.1,15890,18640.2,8830.9,1900.5,805,945,0,2383.5,3052,2593.5,4918,11919.6,11149.4,12860.9,5937.8,1046.5,1067.5,738.5,850.5,581,493.5,4280.5,6030.3,10871.4,19372.4,23042,7558.9,1998.5,934.5,1526,1113,738.5,395.5,1543.5,7294.4,14330.3,25141.6,25885,13671.9,2653,1795.5,3216.5,0,0,0,0,7550.5,14644.8,17089.4,23229.2,15368.7,0,0,0,0,0,0,0,8387.7,17647.8,18246.3,23725.4,13555.5,0,0,0,0,0,0,0,7649.3,16272.7,22120.6,25254.9,14291.4,0,0,0
Octopus Islands Marine Park,west,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Okanagan Lake Park,ok,0,0,10552.5,8781.8,16709.5,29066.9,52623.3,52246.7,19554.2,3745.2,0,0,0,0,2514.7,6436.9,15071.1,32365.3,64826.6,54501.1,31267,3827.8,0,0,0,0,662.2,6448.2,17847.9,25632.5,52576.4,58062.3,26897.2,2534.4,0,0,0,0,1961.5,5292.5,17049.5,26463.8,48582.7,50582.4,22703.6,2412.6,0,0,0,0,3047.3,7495.5,16990.4,43178.4,47990.2,47786.9,26843.3,4745.5,0,0,0,0,1336.8,6693.6,19729.6,33686.3,55215.3,53077.1,29847.5,4722.6,15330.2,0,0,0,5064.5,10113.4,20529.7,26323.4,50789.7,49176.5,28799.6,3684.6,32,0,0,0,465.1,7781.5,16977,34013.2,47360.9,47183.4,19502.1,3347.5,0,0,0,0,1348.6,7127,19462.1,31009.7,49148.9,41458.9,22557.7,3050.8,60.8,0,0,0,1140,8167.1,17437,31744.5,47995.6,50823.4,24213.5,4021.6,70.4,0
Okanagan Mountain Park,ok,0,0,0,0,0,0,275.2,220.8,19.2,0,0,0,0,0,0,0,0,0,438.4,364.8,19.2,0,0,0,0,0,0,0,0,44.8,201.6,400,12.8,0,0,0,0,0,0,0,0,33.6,256.2,436.8,0,0,0,0,0,0,0,0,37.8,86.4,217.6,246.4,0,0,0,0,0,0,0,0,35.2,144,192,118.4,0,0,0,0,0,0,0,0,12.8,70.4,115.2,208,0,0,0,0,0,0,0,0,51.2,0,96,147.2,0,0,0,0,0,0,0,0,0,28.8,19.2,28.8,0,0,0,0,0,0,0,0,19.2,6.4,25.6,9.6,0,0,0,0
Okeover Arm Park,south,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.4,342.4,576,166.4,0,0,0,0,0,0,0,0,305.4,721,900.4,177.8,0,0,0,0,0,0,0,0,51.2,249.6,278.4,131.2,0,0,0,0,0,0,0,0,383.8,672,467.2,89.6,0,0,0,0,0,0,0,0,262.4,889.6,860.8,236.8,0,0,0,0,0,0,0,0,80,566.4,1123.2,73.6,0,0,0,0,0,0,0,0,316.8,569.6,716.8,96,0,0,0
One Island Lake Park,north,0,0,0,0,192,4420.4,4786.7,3610.1,2296.1,0,0,0,0,0,0,0,361.6,848,656,764.8,297.6,0,0,0,0,0,0,0,345.6,784,937.6,1014.4,473.6,0,0,0,0,0,0,0,473.6,707.2,883.2,838.4,268.8,6.4,0,0,0,0,0,0,320,1052.8,825.6,908.8,198.4,44.8,0,0,0,0,0,0,681.6,6644.3,812.8,531.2,198.4,0,0,0,0,0,0,0,259.2,265.6,380.8,633.6,316.8,0,0,0,0,0,0,0,0,0,8088.5,7080.5,4588.5,0,0,0,0,0,0,0,387.2,576,4849.3,4808.5,2199.2,0,0,0,0,0,0,0,3923.9,5313.3,4330.7,3601.4,2132.7,0,0,0
Otter Lake Park,ok,0,0,0,0,617.6,1424,3625.6,3590.4,950.4,89.6,0,0,0,0,0,51.2,518.4,1305.6,3884.8,3977.6,1376,96,0,0,0,0,0,0,569.6,992,3315.2,3865.6,1148.8,67.2,0,0,0,0,0,0,336,934.4,2691.2,3715.2,764.8,0,0,0,0,0,0,0,649.6,1654.4,3305.6,3776,710.4,0,0,0,0,0,0,0,886.4,2003.2,3952,3475.2,1024,0,0,0,0,0,0,0,832,2371.2,3788.8,4086.4,748.8,0,0,0,0,0,0,0,771.2,2204.8,3580.8,3734.4,723.2,0,0,0,0,0,0,0,652.8,1961.6,4057.6,3817.6,678.4,0,0,0,0,0,0,0,828.8,2121.6,4227.2,4006.4,752,0,0,0
Paarens Beach Park,north,0,0,0,0,3165.7,5439,12097.5,8777.2,1075.4,0,0,0,0,0,0,0,1859.3,3408,8196.3,8622.7,827.1,0,0,0,0,0,0,0,472.8,5837.3,9495.6,8890.2,340.8,0,0,0,0,0,0,0,1595.7,8515.3,11338.4,16000.6,942.4,0,0,0,0,0,0,0,1559.4,8023.2,14281.5,13335.9,2443,0,0,0,0,0,0,0,2079.6,6657.7,14569.6,7599.9,4196.6,0,0,0,0,0,0,0,3019,7164.2,12058.9,8869.8,1181.7,0,0,0,0,0,0,0,3757.6,6827.4,8240.4,8364.5,4831.8,0,0,0,0,0,0,0,2289.4,6509.8,11339.8,10613.7,4910.6,0,0,0,0,0,0,0,2860.1,5612.7,9413.4,8578.7,1432.9,0,0,0
Paul Lake Park,tc,0,0,0,0,10173.8,15677.9,26413.7,19415.7,6807.2,3034.5,0,0,0,0,0,0,9801.1,15520.1,24372.8,27433.5,11939.4,3129,0,0,0,0,0,0,12369.8,12650.7,32895.2,27634.9,11316.3,2215.5,0,0,0,0,0,0,11735.7,17583.9,30538.4,20421.9,9768.1,2922.5,0,0,0,0,0,0,10640.9,20560.1,31685.2,26129.3,8477.6,3528,0,0,0,0,0,0,9691.6,23688.8,26493.9,25706.3,10060.6,0,0,0,0,0,0,0,15510,20645.1,28563.3,29367.5,10310.4,3006.5,0,0,0,0,0,0,18012.9,23626.3,30969.8,20338.2,10438.6,2943.5,0,0,0,0,0,0,21841.9,20672.3,30633.7,21356.1,8917,70,0,0,0,0,0,0,17106.3,21707.7,27991.8,26716.6,10312.5,0,0,0
Peace Arch Park,south,3772,5981,6595.5,8905,10826,13789.5,20082,16435,10011.5,7861,4721,3676,3613,2390.5,3535,8226,10259,13814,19833.5,16063,13848,7543,4770,3412,2576,2240,5087.5,14766,17017,19308.5,30213,24402.5,18212.5,12283,6454.5,5929.5,5320,4422,10928,11047,17429,22641.5,42414,29454,17175,12858.5,8197.5,7813.5,6733,7339.5,9486.5,13645.5,17812,23055.5,34214.5,35257.5,19616,12765,7443,6823.5,5271,7563.5,10366.5,14581.5,23247,25810,33987,30850.5,20185,12784.5,7634,5274.5,6384,7853,13239.5,18429.5,22023.5,25855,39008,34220.5,21149.5,14271.5,9813.5,5819,7249.5,8676.5,9642,16567,23278,27242,43372,38628,23499.5,18323,8687,8668,7878,9467,14137.5,16215,28215.5,29056,43536,38061,23198,18474,10555.5,8871.5,9440,8563,23979.5,24817,27206,36573,40907.5,40812.5,25779,17427.5,12553.5,0
Petroglyph Park,west,1942.5,2320.5,2247,2005.5,2898,3171,3402,2254,3577,5750.5,1872.5,2023,2131.5,2236.5,1641.5,1109.5,2292.5,2838.5,3605,5740,3741.5,3101,2299.5,2299.5,2299.5,3080,3699.5,1193.5,5071.5,3895.5,5026,5372.5,3927,3300.5,2348.5,2215.5,2590,2649.5,3706.5,4119.5,3566.5,3685.5,5330.5,5239.5,4301.5,675.5,2173.5,1400,3045,2369.5,2534,3923.5,3843,4924.5,5824,29379,2026.5,2359,3619,3024,3426.5,3899,2548,5974.5,3535,4168.5,3458,6643,5859,4445,0,3055.5,2723,1659,5925.5,4508,3647,4259.5,4868.5,6923,5726,3535,3486,2492,4102,3437,4137,3720.5,5456.5,6713,6373.5,6247.5,6853,3444,3090.5,1018.5,2660,5726,3755.5,4238.5,5736.5,5047,8281,8372,5684,5057.5,10972.5,2187.5,1442,479.5,1067.5,1284.5,413,4987.5,6506.5,6086.5,6086.5,3444,9863,0
Pilot Bay Park,ok,0,0,0,0,504,997.5,1757,1396.5,448,0,0,0,0,0,0,0,0,456,1296,617,224,0,0,0,0,0,0,0,633.5,427,1060.5,1298.5,588,206.5,0,0,0,0,0,0,605,490,1155,1201,477,266,0,0,0,0,0,0,784,821,1393,1427,783,451,0,0,0,0,0,0,961,878,1741,2052,1299,616,0,0,0,0,0,0,904,1021,2150,2086,1085,426,0,0,0,0,0,0,960,1213,1749,2148,1067,765,0,0,0,0,0,0,1129,1065,1998,1798,851,541,0,0,0,0,0,0,997,1018,1898,1992,915,604,0,0
Pine Le Moray Park,north,0,0,0,0,0,1779.9,2922,2968.4,563.9,0,0,0,0,0,0,0,0,0,0,1050,3132.5,0,0,0,0,0,0,0,0,2681,3087,3122,1515.5,0,0,0,0,0,0,0,0,2091,2797,2245,7906.5,0,0,0,0,0,0,0,0,2387,2943.5,2138.5,4186,0,0,0,0,0,0,0,0,2397.5,3010,3150,4200,0,0,0,0,0,0,0,1351,3024,3423,2912,3850,0,0,0,0,0,0,0,0,1032.5,2030,2734,875,0,0,0,0,0,0,0,0,3136,3612,3951.5,1435,0,0,0,0,0,0,0,1739.5,2922.5,3843,3489.5,1221.5,0,0,0
Pinecone Burke Park,south,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pinnacles Park,tc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,281,467,242,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988,1225,732,0,0,0,0,0,0,0,452,0,0,175,440,0,0,0,0,0,0,0,0,718,219,531,299,0,0,0,0,0,0,0,903,718,303,790,490,0,0,0,0,0,0,0,677,718,261,1746.5,1435,0,0,0
Pirates Cove Marine Park,west,0,358.4,22.4,172.8,830.2,825.2,2157.8,2209.8,964.8,307.2,0,0,0,89.6,19.2,800,405.4,578.6,2025.4,2579.6,1590.6,25.2,6.4,0,0,6.4,22.4,189.6,291,355.6,1872.8,2052.8,1092.2,114.8,0,9.6,0,0,51.2,163.2,753.4,953.2,2273.4,2246.6,1000.8,122.4,6.4,28.8,38.4,19.2,90.6,247,724.8,749.4,1663.2,1948.8,892.2,195.2,31.2,6.4,9.6,22.4,27.4,413.4,958.2,1027.2,1460.6,1842,895.2,221.4,6.4,6.4,12.8,12.8,56,409.6,782.8,1054.6,1992.4,2109.8,1065,218.8,6.4,6.4,19.2,16,169.6,357.8,658.6,876,1889.4,2311.6,1382.8,176,8.4,9.6,3.2,0,85,269,911.6,924.2,1993,2620.8,993.8,21.2,0,3.2,0,0,23.4,414,782.4,1305.6,1806.4,2397.8,617.4,27.4,3.2,0
Plumper Cove Marine Park,south,0,0,0,0,915.4,2351.8,2715.4,2924.4,9.6,0,0,0,0,0,0,0,915.4,2209.6,3071.4,3085.4,1799.2,0,0,0,0,0,0,0,1308.4,1255.6,3227.6,3258,1953.4,0,0,0,0,0,0,0,1314.8,3055.4,7739.1,11491.1,1286.6,0,0,0,0,0,0,0,1568.2,3325.8,6455.8,3741.6,1510.1,0,0,25.6,6.4,9.6,16,25.6,924.8,1904,3203.2,2621.4,320.4,41.6,35.2,0,0,44.8,12.8,35.2,1027.2,1168,3216,1836.8,956.8,0,0,28.8,0,0,0,0,790.4,1280,1772.8,1692.8,662.4,57.6,28.8,22.4,22.4,25.6,0,38.4,1056,1280,1932.8,1942.4,668.8,89.6,28.8,25.6,38.4,35.2,25.6,51.2,604.8,1529.6,1699.2,2137.6,371.2,38.4,0,0
Porpoise Bay Park,south,11998,12747,17598,7652,12476.6,13622.6,27508.9,31058.1,10477,7024.5,4641,4375,3857,4385.5,5939.5,7241.5,11962.8,13575.2,25474.8,30429.2,8280.2,6464,1260,1260,1260,1260,1260,8126.8,5588,14295.2,17007.5,21592.8,22955.3,33740,11238.5,10454.5,13156.5,11550,16695,214,3872.8,27007.8,66665.3,73745,14939,336,11844,10400,10647,11095,11410,5872.1,23398.8,23833.5,35027.4,34501.6,14591.3,8263.5,2737,1771,7259,6905.5,9030,11390.8,17055.2,23881.4,23866.5,27715.4,19222.4,8981,6730.5,5302.5,7189,8050,10279.5,11983.9,18818.6,26244.7,35945.1,38362.3,19201.8,7457,7129.5,5670,8022,7196,10423,13150.4,20795.6,26637.5,41626.4,42595.8,19583,9302.3,7024.5,5771.5,10209.5,8680,9415,11359.6,26607.9,23209.7,38959.7,43857.2,18823.7,7379.1,6170.5,5425,8991.5,7140,8610,13487.5,24382.7,20816.5,36293.6,42678.1,19144.8,6304.4,0,0
