park,region,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01
Kekuli Bay Park,ok,0,0,0,3895.5,5950,10762.5,21280,19873,6041,3451,0,0,0,0,0,4270,5313,8263.5,20188,23156,10328.5,3549,0,0,0,0,0,4819.5,6233.5,7448,22505,20979,9394,2831.5,0,0,0,0,1067.5,3458,6695.5,9936.5,21332.5,20503,9303,3265.5,0,0,0,0,0,4823,8508.5,11595.5,21693,20702.5,9432.5,3643.5,0,0,0,0,0,7101.5,25063.5,20471.5,36403.5,36291.5,15694,5425,0,0,0,0,0,10713.5,15932,19484.5,35161,25830,17563,7437.5,0,0,0,0,0,9415,18739,22032.5,36592.5,36760.5,21945,7588,0,0,0,0,0,13825,24493,27272,44331,33621,20842.5,10223.5,0,0,0,0,0,13002.5,24178,30184,41163.5,48482,24367,8893.5,0,0
Kennedy Lake Park,west,1239,1260,2110.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky-Alleyne Park,tc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kettle River Recreation Area,ok,0,0,0,0,3584,11060,12169.5,10374,31.5,318.5,0,0,0,0,0,1890,3724,3363.5,12313,12379.5,6734,0,0,0,0,0,0,1106,3307.5,4049.5,9646,12407.5,5677,742,0,0,0,0,0,1291.5,2810.5,3559.5,10885,9285.5,4224.5,941.5,0,0,0,0,0,2268,2898,3122,10552.5,9884,3825.5,0,0,0,0,0,0,0,3101,3983,8911,4508,0,0,0,0,0,0,0,0,5803,4361,10020.5,8946,3524.5,0,0,0,0,0,0,0,4035.5,3654,9807,7626.5,4203.5,0,0,0,0,0,0,0,4340,3741.5,8477,7129.5,4182.5,0,0,0,0,0,0,1575,4725,4277,8645,7588,3759,0,0,0
Kickininee Park,ok,0,0,35371,19173,40099.5,33813.5,48380.5,45097.5,28220.5,23131.5,0,0,0,0,2222.5,24997,26771.5,21675.5,39571,61841.5,30016,0,0,0,0,0,0,20597.5,28493.5,29725.5,45192,48982.5,31801,9324,0,0,0,0,0,20125,30950.5,33813.5,50788.5,48877.5,30838.5,7168,0,0,0,0,17150,16625,29274,33736.5,50701,49906.5,31279.5,12607,0,0,0,0,0,16936.5,35185.5,42269.5,53375,48419,31955,15970.5,0,0,0,0,0,16453.5,36806,41216,51541,55552,36568,15970.5,0,0,0,0,0,18067,39336.5,44544.5,61029.5,54712,44261,8214.5,0,0,0,0,0,12400.5,43232,43995,56731.5,50970.5,40281.5,8865.5,0,0,0,0,0,13737.5,40663,42637,50592.5,54722.5,37341.5,15386,0,0
Kikomun Creek Park,ok,0,0,0,0,11742.5,12628,44145.5,34884.5,10024,0,0,0,0,0,0,0,10052,12764.5,45419.5,46679.5,11557,0,0,0,0,0,0,0,12292,5764.5,34233.5,31440.5,16919,0,0,0,0,0,0,0,5110,8967,25931.5,29316,4900,0,0,0,0,0,0,0,7119,5635,33302.5,29774.5,4984,0,0,0,0,0,0,0,25896.5,18172,33173,31234,4746,0,0,0,0,0,0,0,7833,12775,27881,25690,6027,0,0,0,0,0,0,0,10391.5,9775.5,37222.5,33078.5,5964,0,0,0,0,0,0,0,6993,9145.5,34797,26659.5,4333,0,0,0,0,0,0,0,5722.5,10531.5,42843.5,33029.5,4651.5,0,0,0
Kilby Park,south,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kinaskan Lake Park,north,0,0,0,0,1904,6674.5,4518.5,2933,3213,0,0,0,0,0,0,0,3220,3129,5110,4819.5,2345,0,0,0,0,0,0,0,2201.5,6947.5,9999.5,8557.5,4662,0,0,0,0,0,0,0,1575,6979,2957.5,3678.5,3426.5,0,0,0,0,0,0,0,1617,2401,3328.5,3206,665,0,0,0,0,0,0,0,1256.5,1701,5229,3220,2219,0,0,0,0,0,0,0,1893.5,4469.5,6128.5,6398,3367,0,0,0,0,0,0,0,847,2726.5,3237.5,3374,2191,0,0,0,0,0,0,0,1333.5,2632,3944.5,3391.5,2663.5,0,0,0,0,0,0,0,1806,3398.5,3930.5,3832.5,3832.5,0,0,0
Kiskatinaw Park,north,0,0,0,0,157.5,8578.5,6398,6608,1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9544.5,0,0,0,0,0,0,0,0,0,0,3562,2902,3010,1195,1722,0,0,0,0,0,0,1435,3832.5,7787.5,4529,1449,0,0,0,0,0,0,0,2891,3650.5,5873,3986.5,644,0,0,0,0,0,0,0,301,3461.5,3181.5,3293.5,518,0,0,0,0,0,0,0,0,3930.5,4984,3997,791,0,0,0,0,0,0,0,0,6593,4651.5,3538.5,735,0,0,0
Kitimat River Park,north,0,0,0,0,280,311.5,308,238,248.5,0,0,0,0,0,0,0,82,94,84,67,82,0,0,0,0,0,0,0,80,63,77,55,44,0,0,0,0,0,0,0,81,82,83,63,66,0,0,0,0,0,0,0,86,73,73,58,40,0,0,0,0,0,0,0,147,84,137,89,74,0,0,0,0,0,0,0,157,92,149,97,80,0,0,0,0,0,0,0,82,74,72,56,44,0,0,0,0,0,0,0,45,32,53,36,20,0,0,0,0,0,0,0,60,63,27,53,48,0,0,0
Kleanza Creek Park,north,0,0,0,0,4032,4511.5,0,7483,1806,0,0,0,0,0,0,0,2436,4532.5,5477.5,5449.5,2079,0,0,0,0,0,0,0,2562,3997,6723.5,6597.5,2145.5,0,0,0,0,0,0,0,2527,3879,3444,4494,1487.5,0,0,0,0,0,0,0,7528.5,7329,6870.5,7528.5,735,0,0,0,0,0,0,0,4830,6306.5,8316,5799.5,1865.5,0,0,0,0,0,0,0,4955.5,6184,7658,8158.5,2156,0,0,0,0,0,0,0,2338,4634,4242,7714,1764,0,0,0,0,0,0,0,3836,5271,9852.5,11739,3055.5,0,0,0,0,0,0,0,5488,8907.5,9807,10024,2159.5,0,0,0
Kokanee Creek Park,ok,0,0,0,0,17489.5,16128,360.5,21143.5,5099.5,0,0,0,0,0,0,0,16555,18095,27310.5,32900,10360,0,0,0,0,0,0,0,18910.5,28325.5,41793.5,61260.5,26421.5,0,0,0,0,0,0,0,19344.5,23065,44723,30047.5,27933.5,0,0,0,0,0,0,0,15333.5,11735.5,45328.5,56038.5,32452,0,0,0,0,0,0,0,25371.5,43162,61250,89411,33260.5,0,0,0,0,0,0,0,14896,33582.5,62569.5,83006,42843.5,0,0,0,0,0,0,1750,16614.5,39312,61474,102455.5,46560.5,0,0,0,0,0,0,2054.5,38864,34384,61918.5,76695.5,47915,0,0,0,0,0,0,1900.5,112721,36053.5,63000,80615.5,68250,0,0,0
Kokanee Glacier Park,ok,0,0,0,0,0,0,2800,3972,0,0,0,0,0,0,0,0,0,248,3262,4676,259,115,0,0,0,0,0,0,0,0,2933,4221,2737,661,0,0,0,0,0,0,0,0,3152,4349,1773,661,0,0,0,0,0,0,0,1018,4109,5709,3133,1059,0,0,0,0,0,0,0,2291,4109,5136,3181,1795,0,0,0,0,0,0,0,2067,5510,5837,3373,886,0,0,0,0,0,0,0,438,5181,4400,3338,1731,0,0,0,0,0,0,0,1498,5661,4470,3638,1747,0,0,0,0,0,0,0,2085,5420,4505,2531,1455,0,0
Koksilah River Park,west,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591.5,1162,1991.5,1057,826,1760.5,1106,913.5,626.5,675.5,458.5,493.5,777,976.5,703.5,2257.5,497,619.5,605.5,252,388.5,441,360.5,686,616,780.5,973,1172.5,679,843.5,483,381.5,395.5,357,542.5,626.5,766.5,514.5,1631,1347.5,861,805,406,266,301,276.5,472.5,497,721,1039.5,1043,1515.5,819,696.5,595,0
Kootenay Lake Park,ok,0,0,0,0,654.5,1197,2775.5,4214,1652,0,0,0,0,0,0,0,1858.5,2121,3391.5,6951,3825.5,0,0,0,0,0,0,0,3349.5,2303,5908,6996.5,3706.5,0,0,0,0,0,0,0,3321.5,2180.5,7913.5,6426,3447.5,0,0,0,0,0,0,0,2145.5,2250.5,7640.5,6387.5,3269,0,0,0,0,0,0,0,1480.5,5138,9887.5,8949.5,3941,0,0,0,0,0,0,0,1872.5,3423,6898.5,7829.5,4039,0,0,0,0,0,0,952,2565.5,3703,6205.5,5810,4518.5,0,0,0,0,0,0,0,2800,2684.5,7322,6552,3965.5,0,0,0,0,0,0,399,2796.5,4004,7581,6769,4091.5,0,0,0
Kunxalas Conservancy,west,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2625,5306,6940.5,0,0,0,0,0,0,0,0,0,693,3983,4151,2054.5,546,192.5,304.5,402.5,262.5,273,784,1253,3591,3108,1767.5,2821,917,238,245,304.5,336,1071,1788.5,2219,3619,3741.5,3741.5,1806,266,308,192.5,395.5,437.5,630,1176,2677.5,3143,2954,3129,973,0,0
Lac du Bois Grasslands Protected Area,tc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,1137,991,523,288,159,99,0,0,0,0,0,0,0,165,279,234,389,400,1467,0,0,0,0,0,0,416,541,293,531,310,572,0,0,0,662,1143,931,1085,387,406,1047,758,326,344,140,8,12,8,1964,3338,2872,1825,484,410,649,0,0,0,0,0,0,0,0,0,0,0,0,0
Lac La Hache Park,tc,0,0,0,0,2037,8158.5,23313.5,11434.5,4438,0,0,0,0,0,0,0,2913,6737.5,10607,14465,6923,0,0,0,0,0,0,0,3636.5,12460,14325.5,11270,3269,0,0,0,0,0,0,0,2023,6870.5,10566.5,8449,4350.5,0,0,0,0,0,0,0,5106.5,5918.5,8641.5,8165.5,7413,0,0,0,0,0,0,0,801.5,8848,13832,10808,6482,0,0,0,0,0,0,0,3993.5,6902,10090.5,12799.5,4298,0,0,0,0,0,0,0,4889.5,10640.5,4819.5,2250.5,6062,0,0,0,0,0,0,0,4767,8904,9579.5,8620.5,5614,0,0,0,0,0,0,0,4550,8806,8162,7889,5323.5,0,0,0
Lac Le Jeune Park,tc,0,0,0,0,4756.5,9051,18119.5,14742,5309.5,3419.5,0,0,0,0,0,0,4151,11669,18700.5,16936.5,8071,2691.5,0,0,0,0,0,0,4732,8113,22680,20275.5,6727,1557.5,0,0,0,0,0,0,6436.5,8974,23327.5,17244.5,7472.5,2555,0,0,0,0,0,0,4728.5,11651.5,24181.5,19285,7721,0,0,0,0,0,0,0,6170.5,14000,22036,25368,8421,0,0,0,0,0,0,0,6076,13380.5,7504,19848.5,8564.5,479.5,0,0,0,0,0,0,5925.5,11620,7185.5,14567,8508.5,0,0,0,0,0,0,0,4970,13020,12239.5,19925.5,8501.5,0,0,0,0,0,0,0,5656,12673.5,8974,18112.5,8526,0,0,0
Lakelse Lake Park,north,1564.5,1477,2964.5,6447,18494,25634,49885.5,46077.5,11648,3636.5,1942.5,1085,2436,1375.5,2709,2936.5,16208.5,20394.5,27930,34041,19187,2401,2779,1561,2383.5,3577,5673.5,6674.5,16761.5,18872,60345,41471.5,14626.5,5057.5,1998.5,4326,1725.5,1792,0,7399,15855,30936,59601.5,44012.5,19824,4770.5,1960,3300.5,4907,0,0,0,26474,34520.5,45559.5,49276.5,7801.5,1697.5,1123.5,1522.5,0,0,0,0,33657,42369,56322,29603,10146.5,2534,0,0,0,0,0,0,29228.5,41305.5,47967,44766.5,11459,0,0,0,0,0,0,0,31862,38451.5,44387,40554.5,11403,0,0,0,0,0,0,0,26911,38407.5,50008,44740.5,10433.5,0,0,0,0,0,0,0,29592.5,40132.5,42861,39053,16548,0,0,0
"LAU,WELNEW/John Dean Park",west,0,0,2366,4382,4830,4613,5404,5085.5,4196.5,4732,0,0,0,0,2194.5,4483.5,4497.5,4532.5,5348,5411,4161.5,4301.5,0,0,0,0,2345,5103,4840.5,4844,5498.5,5491.5,5068,4389,0,0,0,0,3192,3307.5,6289.5,5582.5,6254.5,5628,4910.5,5036.5,0,0,0,0,2782.5,5960.5,5505.5,5848.5,5512.5,6331.5,5698,4476.5,0,0,0,0,6156.5,6167,6727,5355,1652,304.5,5946.5,5421.5,0,0,0,0,8029,7070,7287,6520.5,7497,4417,6212.5,5225.5,0,0,0,0,3143,7924,6464.5,6440,7864.5,311.5,2712.5,6261.5,0,0,0,0,3930.5,7381.5,7521.5,10370.5,4795,528.5,3934,4938.5,0,0,0,0,3433.5,6888,7483,7269.5,7780.5,7927.5,7514.5,7301,0,0
Liard River Hot Springs Park,north,437.5,633.5,1711.5,2268,9877,20184.5,20608,18774,11956,2709,1067.5,707,812,0,2443,2418.5,7304.5,21080.5,23075.5,18483.5,11070.5,2705.5,0,0,0,0,0,0,3696,4581.5,6646.5,6993,4627,3584,1361.5,798,962.5,3157,4837,4445,4140.5,10150,10146.5,9891,6282.5,2474.5,1263.5,759.5,1869,2061.5,3878,3878,6086.5,19488,22340.5,22820,12904.5,6048,1515.5,1953,1715,1946,4483.5,0,10367,15060.5,16292.5,2746,9593.5,3689,2264.5,1865.5,1865.5,1897,4221,7262.5,14500.5,17818.5,18039,17668,12260.5,5750.5,2348.5,1897,1739.5,2271.5,4039,4655,11963,21238,22876,17790.5,13030.5,5418,2093,1907.5,1795.5,2047.5,4347,6968.5,9772,18711,20076,18270,13107.5,7080.5,3041.5,2331,2215.5,1823.5,4480,6702.5,12393.5,18413,18276,14601,12607,8330,1862,0
Little Qualicum Falls Park,west,8967,7805,23912,12764.5,23306.5,29463,41398,37065,29351,14833,10192,6412,8809.5,7588,9908.5,10381,10314.5,19547.5,36501.5,34342,22911,12754,6370,7654.5,6622,7966,13601,14448,19897.5,23999.5,31720.5,39585,25284,14672,5778.5,7840,9117.5,9919,15172.5,16716,23285.5,16639,28679,45048.5,30660,15585.5,11126.5,7682.5,10825.5,7378,11364.5,16359,21955.5,67077.5,48860,46011,38486,14679,18462.5,13191.5,18308.5,16096.5,19047,17871,30653,34219.5,56871.5,46214,29666,18928,4571,18298,12187,10591,37278.5,22015,29795.5,27720,53728.5,53707.5,39102,26593,14735,10097.5,9128,10584,7493.5,19271,35997.5,37152.5,58222.5,58264.5,45573.5,25550,8393,13240.5,14833,12110,16877,25112.5,30142,37544.5,56385,35882,25410,20037.5,9894.5,9023,6366.5,3626,8473.5,12008.5,8431.5,17216.5,53007.5,60799,30887.5,20517,10360,0
Lockhart Beach Park,ok,0,0,0,0,1393,1575,5323.5,5180,2555,0,0,0,0,0,0,0,808.5,1074.5,4847.5,2635.5,1484,0,0,0,0,0,0,0,364,490,1060.5,2583,819,0,0,0,0,0,0,0,451.5,0,1011.5,1305.5,1617,0,0,0,0,0,0,0,350,2520,2201.5,1372,1151.5,0,0,0,0,0,0,0,2418.5,878.5,1218,679,913.5,0,0,0,0,0,0,0,1032.5,1389.5,1218,1197,528.5,0,0,0,0,0,0,0,1109.5,542.5,1690.5,1050,1473.5,0,0,0,0,0,0,0,1169,836.5,1036,1046.5,759.5,0,0,0,0,0,0,0,1225,1813,2828,1099,2800,0,0,0
Loveland Bay Park,west,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mabel Lake Park,ok,0,0,0,4599,3839.5,4277,13583.5,13860,2730,973,0,0,0,0,0,1984.5,5610.5,4522,13149.5,16919,2737,927.5,0,0,0,0,0,1883,5901,3587.5,10010,17563,2824.5,969.5,0,0,0,0,0,2821,5792.5,4679.5,11525.5,16663.5,5418,955.5,0,0,0,0,0,1935.5,5463.5,4963,11592,14738.5,6520.5,0,0,0,0,0,0,3668,6632.5,9943.5,12253.5,14703.5,5526.5,1092,0,0,0,0,0,4448.5,12036.5,5831,14227.5,14882,4728.5,917,0,0,0,0,0,3321.5,7255.5,6426,15561,15519,4119.5,1085,0,0,0,0,0,675.5,8204,7402.5,15557.5,10486,3136,609,0,0,0,0,0,2772,9166.5,6583.5,10174.5,13629,4375,822.5,0,0
Macmillan Park,west,5519,6993,20177,20065,45192,59993,154892,141841,61659,10517,8512,6755,8578,8197,14577,14682,40383,62807,98241,139961,61568,35847,12897,8396,6489,10661,20331,22395,42938,34051,100418.5,108031,63130,31938,6181,10210,9748,13381,12607,15659,42476,19653,86548,130662,75313,25113,6363,9603,6398,7676,11210,21508,28284,53319,61691,70578,43642,11863,8038,7501,10010,18298,14299,18851,48080,24371,85079,95400,55213,33845,11498,9051,8659,14113,28091,17633,48724,68681,91595,97325,66878,34969,9125,8243,6542,13164,20317,18484,76871,62283,108223,110558,71523,33849,8901,6248,8988,23380,14427,19863,50687,58975,88179,66571,64435,38478,11319,7725,5646,6213,9405,15117,42588,46116,43743,42357,26415,39536,45129,0
Main Lake Park,west,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.5,0,0,0,0,0,0,0,0,0,0,73.5,96,227.5,301,70,0,0,0,0,0,0,0,0,192.5,196,395,7,0,0,0
Mansons Landing Park,west,0,0,0,0,759,2264,10062,11140,1834,0,0,0,0,0,0,0,1392,2390,4262,14027,3839,0,0,0,0,0,0,0,519,975,4704,17480,2864,0,0,0,0,0,0,0,2457,1662,13064,10266,1968,0,0,0,0,0,0,0,3136,1834,8449,11550,1394,0,0,0,0,0,0,0,3938,4201,10081,12535,2314,0,0,0,0,0,0,0,1316,1870,8702,12307,2314,0,0,0,0,0,0,0,1983,3220,11405.5,19050.5,5386.5,0,0,0,0,0,0,0,456,1727,6499,8048,2222,0,0,0,0,0,0,0,2511,2680,13350,12342,1812,0,0,0
Maquinna Marine Park,west,154,402,910,1207,2485,3230,5649,6181,2971,1442,322,332,381,336,658,1603,2012,3304,6114,6912,3104,1627,241,486,241,231,801,1603,2012,2590,4701,5578,3553,2685,867,396,257,323,790,1441,2125,3339,4443,6206,2328,1918,477,405,398,297,923,910,1678,2076,5058,7641,1504,3122,854,410,973,903,1033,1593,3171,5674,10434,15050,2461,2575,1853,403,767,506,915,1477,4133,8519,6643,7245,4165,2608,1061,406,722,938,957,1290,1742,1578,416,1205,753,1202,567,406,243,193,252,1453,3015,5257,3255,4026,2460,2128,1160,0,248,193,252,1,1,1,1,1,1,1,0,0
Mara Park,ok,0,0,0,0,3297,10325,15340.5,14920.5,4805.5,0,0,0,0,0,0,0,4109,4844,14535.5,14602,5855.5,0,0,0,0,0,0,0,5159,10797.5,10430,14833,5589.5,0,0,0,0,0,0,0,4546.5,4613,14679,14385,6013,0,0,0,0,0,0,0,3213,4259.5,14980,14476,5246.5,0,0,0,0,0,0,0,5589.5,9254,16313.5,14231,4448.5,2548,1725.5,0,0,0,0,3871,5460,17489.5,15477,16719.5,4060,0,0,0,0,0,0,0,7210,15939,18028.5,19743.5,4585,0,0,0,0,0,0,0,6261.5,11735.5,15337,12558,8848,0,0,0,0,0,0,0,6184.5,9415,11417,15417.5,7045.5,0,0,0
Marble Canyon Park,tc,1449,1585.5,2467.5,2828,7983.5,9884,14966,12201,9964.5,4945.5,1249.5,521.5,1099,903,966,1127,6741,10199,13944,13328,11431,4221,1655.5,546,1277.5,1736,1865.5,3773,7105,9068.5,15970.5,16772,9429,4382,1816.5,1571.5,948.5,1025.5,1732.5,3853.5,9492,9093,15029,15319.5,10752,4235,2453.5,1988,0,0,0,0,6734,10927,14458.5,16915.5,12138,0,0,0,0,0,0,0,9187.5,5113.5,7875,20821.5,10097.5,0,0,0,0,0,0,0,10549,8484,11473,22379,7280,0,0,0,0,0,0,0,9614.5,8175,11567.5,9726.5,14507.5,0,0,0,0,0,0,0,11560.5,13559,10171,9359,16457,0,0,0,0,0,0,0,11672.5,16800,9852.5,10115,7693,0,0,0
Martha Creek Park,ok,0,0,0,0,3010,3990,8953,6391,3675,0,0,0,0,0,0,0,3562,2635.5,12390,6667.5,3381,0,0,0,0,0,0,0,2359,2747.5,7651,6741,2047.5,0,0,0,0,0,0,0,2408,4361,10223.5,8414,3363.5,0,0,0,0,0,0,0,0,5526.5,9194.5,8907.5,3279.5,3279.5,0,0,0,0,0,0,4350.5,6874,11732,9726.5,3517.5,0,0,0,0,0,0,0,3934,5379.5,10811.5,11791.5,3745,0,0,0,0,0,0,0,4329.5,6405,14252,11455.5,4998,0,0,0,0,0,0,0,6902,9187.5,19267.5,15522.5,6044.5,0,0,0,0,0,0,0,7416.5,11658.5,20300,21105,7959,0,0,0
McConnell Lake Park,tc,0,0,0,0,2180.5,4651.5,6317.5,4963,3216.5,2957.5,0,0,0,0,0,0,2212,4571,5824,4707.5,2555,2233,0,0,0,0,0,0,3584,4221,6849.5,4473,5162.5,1302,0,0,0,0,0,0,2768.5,5939.5,7871.5,4214,4396,2163,0,0,0,0,0,0,3811.5,7413,7024.5,6121.5,4028.5,0,0,0,0,0,0,0,2859.5,8151.5,8281,7003.5,3241,0,0,0,0,0,0,0,3528,4707.5,4032,6975.5,3304,1774.5,0,0,0,0,0,0,4371.5,5204.5,6723.5,3419.5,5946.5,0,0,0,0,0,0,0,2779,6020,6345.5,5799.5,4165,0,0,0,0,0,0,0,3559.5,5309.5,5698,5397,4473,0,0,0
McDonald Creek Park,ok,0,0,0,0,1218,2992.5,7441,2394,3643.5,0,0,0,0,0,0,0,1970.5,2705.5,5096,6653.5,5106.5,0,0,0,0,0,0,0,2733.5,2579.5,5929,5379.5,3129,0,0,0,0,0,0,0,1284.5,2219,4007.5,4546.5,2775.5,0,0,0,0,0,0,0,997.5,7486.5,360.5,4238.5,2341.5,0,0,0,0,0,0,0,1715,2579.5,3899,4518.5,1998.5,0,0,0,0,0,0,0,2334.5,1683.5,3780,4725,1711.5,0,0,0,0,0,0,0,1620.5,2345,3776.5,3461.5,2527,0,0,0,0,0,0,0,3510.5,6842.5,12572,11966.5,2079,0,0,0,0,0,0,0,6345.5,13758.5,21395.5,23366,6888,0,0,0
Meziadin Lake Park,north,0,0,0,0,1876,3055.5,4693.5,4578,941.5,0,0,0,0,0,0,0,917,2870,5516,6156.5,1855,0,0,0,0,0,0,0,969.5,2082,4434.5,5031,2523.5,0,0,0,0,0,0,0,1466.5,3118.5,4952.5,5442.5,2502.5,0,0,0,0,0,0,0,2159.5,2310,3794,4378.5,2884,0,0,0,0,0,0,0,3190,5577,9331,10142.5,3157,0,0,0,0,0,0,0,3150,8298.5,10972.5,9649.5,4158,0,0,0,0,0,0,0,2054.5,3423,13782,10252.5,6184,0,0,0,0,0,0,0,2786,6632.5,5764.5,6419,4193,0,0,0,0,0,0,0,5750.5,2408,4431,9376.5,4189.5,0,0,0
Miracle Beach Park,west,2471,3146.5,3482.5,3510.5,1921.5,8579,15953,14275,4855.5,3542,5243,2054.5,2828,2089.5,3045,3657.5,4652,9034,14642.5,16196.5,6889.5,3951.5,2054.5,1228.5,2289,2439.5,2891,3888.5,5897.5,1395,14676,16459.5,7280.5,3381,2565.5,2411.5,2191,2877,7371,6818,6416.5,8914.5,13151.5,14768.5,6302.5,3818.5,5768,3622.5,2404.5,3542,3570,5621,5173,7259,14086.5,15221,7255,4126.5,3097.5,3087,3965.5,5355,5957,6510,6017.5,8470,14872,14497.5,9376.5,6702.5,3794,1862,6219.5,4553.5,5575.5,3248,5494,13413,12466,18941.5,8020,4795,4641,2859.5,1561,1872.5,4214,4708.5,6673,8190.5,7566.5,10448,8754,6144.5,4193,3342.5,4203.5,4203.5,6083,6044.5,8988,6651.5,9988.5,13114,9283.5,5484.5,3710,2982,4655,3479,4767,4797,7820,11587,11843,14120,8959,5663,4007.5,0
Mitlenatch Island Nature Park,west,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,58,398,371,770,491,169,0,0,0,0,0,0,39,268,250,292,715,194,0,0,0,0,0,0,18,385,248,364,401,152,0,0,0,0,0,0,56,415,328,314,456,0,0,0,0,0,0,0,10,211,206,318,455,0,0,0,0,0,0,12,37,219,256,282,508,73,0,0,0,0,0,0,52,147,270,398,424,30,0,0,0
